track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
04ahbsJ3AfLwTOXeIimwdH,Turn Up,Dimitri Vegas & Like Mike,18,6srYr3daX69zSZHiZTgkrh,Turn Up,2019-07-26,Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house,0.616,0.949,1,-3.986,0,0.0546,0.00694,0.00997,0.368,0.101,130.017,253385
5uZlU3v9fq5ILATfqHvVwK,Try Again,Campsite Dream,35,4tJUpP7w6wLyUs5n29xx7Y,Try Again,2016-06-24,Tropical Beats,37i9dQZF1DX1bDvyV0IkZ3,latin,tropical,0.71,0.716,4,-4.958,1,0.0421,0.125,5e-06,0.0918,0.392,93.007,194214
4NbiNrxg4CJkrNoLVPK9G3,Ensemble - Original Mix,Vicetone,21,33iFw9ThvuYFcmjt9sidIK,Ensemble,2014-06-30,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.754,0.916,7,-4.391,1,0.0359,0.00769,0.69,0.0809,0.541,127.991,341101
5C0LFQARavkPpn7JgA4sLk,Every Breath You Take - Remastered 2003,The Police,28,28eOriEfl7IGbQDNvWIWXK,Synchronicity (Remastered),1983-06-01,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0701,0.74,117.401,253250
3sDeuisFRzTK7dfwlNvoNK,A.N.G.E.L. - Interlude,Dwele,32,44knvMChf7CE5Jkg636gXy,Subject,2003-01-01,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.684,0.396,10,-9.871,1,0.0327,0.486,0.00197,0.0683,0.166,96.984,139645
0bcmVfGI69duX7Vy5F8Kta,More Of Your Love,Justin Mylo,41,0jg1glVlEN5ZWYfC1eLy3m,More Of Your Love,2019-08-16,Trending EDM by Nik Cooper,4N1ipiKR3xla8UXtE12XBm,edm,progressive electro house,0.588,0.869,11,-7.516,0,0.0589,0.00415,0.752,0.696,0.225,128.028,213984
5cepAtqnEQ6yVG6088zMMu,Corazón (feat. Nego do Borel),Maluma,74,6MoaDh76Fsg0ogW2l7HAFx,F.A.M.E.,2018-05-18,Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019,0T47pLnihK4xB8Bk9IQ0Dv,latin,reggaeton,0.722,0.738,9,-6.073,0,0.247,0.328,1.47e-05,0.198,0.748,198.075,184720
4Z1t1aMRif8ES212kTN8H2,Whole Heart,Gryffin,61,5LKilxrPSOHakkR3V56YYZ,Whole Heart,2016-08-26,EDM/POP,6gHk5RFrnALbDNJdaXKivi,edm,pop edm,0.501,0.648,9,-7.173,1,0.0696,0.028,1.26e-05,0.153,0.191,163.834,225200
7DmhyegXAiu0yTy7nRI0yg,Symphony - Dr Phunk Remix,Sick Individuals,49,7of9MR3BmhFmEn5HgYcRqI,Symphony (Dr Phunk Remix),2019-03-15,Big Room EDM,3S03NWbWkrR1e7DPH9rf9Z,edm,big room,0.548,0.79,0,-3.536,0,0.0349,0.451,0.0,0.133,0.435,149.991,204350
4Fqm5rqB0WMx0hPOwgRjFr,Dreams (Will Come Alive),2 Brothers On The 4th Floor,61,3us11hQQJX1JXSIOz98bGG,Dreams,1994,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.701,0.979,7,-4.861,0,0.048,0.00328,0.308,0.416,0.612,134.013,263163
75o7z16lEhLQFk1B9GkbHG,Black Friday,Bushido,20,5x4pdJcxL40ZbEG4QHyGil,Black Friday,2017-06-09,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG,rap,gangster rap,0.627,0.838,10,-6.451,0,0.427,0.258,0.0,0.123,0.733,89.323,139893
14FTOvR2Y5aZcDp5l5LCtB,Stone Cold Gentleman - Radio Version,Ralph Tresvant,0,6mnHfxU94M0vcWgt2aU2DY,Ralph Tresvant (Expanded),1990-11-27,New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing,0.798,0.747,7,-10.036,1,0.0443,0.00178,0.0,0.0742,0.693,105.518,331800
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84,2yXnY2NiaZk9QiJJittS81,Drip Harder,2018-10-05,Southern Hip Hop,57sYMLFXGD4ZqizzcMD7lz,rap,southern hip hop,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543
7iGi2GMQZEZ2OCSiIu5aAi,Se Eu Escapar - Ao Vivo,Maiara & Maraisa,60,6Cd8MnUgD4Ldt3T2bh9hSM,Se Eu Escapar (ao Vivo),2020-01-10,Tropical Rising,37i9dQZF1DX07X8UDWKEwP,latin,tropical,0.797,0.665,1,-4.636,0,0.0527,0.572,0.0,0.281,0.921,128.0,177163
1D61Uu7CQTMieF7Yhmt5dw,Get Loose,Showtek,0,6MKvulo1Hfo6HjVAS2iUfQ,Get Loose,2013-05-14,♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house,0.413,0.953,1,-3.609,1,0.132,0.00021,0.667,0.217,0.166,136.341,334300
7iLGljK0LNpGamQQEOuCRC,Won't Get Fooled Again - Original Album Version,The Who,15,5tqJNAjU163MfKLIP6DtYu,Who's Next (Deluxe Edition),1971-08-14,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400
6FbPncqw70zSCpe2ZWj4cY,Twenty20,Toby Beck,17,7CXgTGXOF5fmX33Xt07KCg,Twenty20,2020-01-04,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,0.861,0.45,1,-13.399,1,0.0752,0.00732,3.25e-06,0.177,0.336,96.978,169458
7LzahanKFAWdfrqKEjiUli,All My Friends - Radio Edit,Tommy Trash,31,231dlOwelJZXcPixXtEtUy,All My Friends (Remixes),2011-09-23,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.698,0.622,10,-5.002,1,0.207,0.0033,0.0,0.518,0.512,128.059,212048
4CdH04HcZHMBLtDULDHFfe,Black Betty,Ministry & Co-Conspirators,30,0iwT0s8a83OxpUUHMptdPP,Cover Up,2008-04-01,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.252,0.916,7,-6.357,1,0.0691,8.68e-06,0.751,0.105,0.385,119.927,209013
1yUC3N6bGNcojpxPS3COYD,Cinnamon Girl - Radio Edit,[dunkelbunt],47,6PkZWzDQr1vhDFHKTI8YlR,Raindrops And Elephants Piranha Re:Interpretations,2009-06-26,Electro Swing Top 100,5M7xLCQTYJL0lbKIrUn3a4,edm,electro house,0.974,0.596,8,-7.835,0,0.226,0.156,0.513,0.418,0.92,121.513,240813
3JAqEYLvkXUECDgWgY3SBv,In My Mind,The Amazons,7,1kLPf4HFRPS0NOFGXDsRR2,Introducing… The Amazons,2020-01-17,Modern Indie Rock // Alternative Rock / Garage Rock / Pop Punk / Grunge / Britpop / Pop Rock,1VnvyBDqoV5TCZAnXYferL,rock,permanent wave,0.326,0.918,0,-4.207,0,0.0677,0.000102,0.00397,0.0719,0.546,155.046,230625
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",79,2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,2017-07-21,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387
7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind (Mwah),Dua Lipa,70,7fb7W4noziWjuzWsdr3DzT,Blow Your Mind (Mwah),2016-08-26,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.654,0.796,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583
4y08InEX3ML1NpBhyRv5Im,Can't Trust'em (Remix),Dizzy Wright,28,2GBIldTF1f66ytmEYqGN8F,Free SmokeOut Conversations (Mixtape),2012-06-12,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.814,0.716,9,-5.084,1,0.176,0.113,0.0,0.73,0.254,140.101,227150
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,78,19lEZSnCCbVEkKchoPQWDZ,Aerosmith,1973-01-05,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960
74zddYeCEHW8ORcr4t1O8K,Place de l'étoile,Triomphe,33,7tNZl9qj2i4lkWEII5DkVQ,Place de l'étoile,2019-06-21,Electro Posé - Discoveries,6nZaTh6K1SwhdELFTmA99C,edm,electro house,0.661,0.409,10,-15.182,1,0.0442,0.899,0.821,0.0989,0.266,114.049,189474
6lWKO0d9288UeeOfVBTCo7,Sale (feat. Shari),Benji & Fede,67,77QYi88mcI4qXClwTAwxjg,Good Vibes,2019-10-18,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),6kVFIQBhLT4003iw2WWEv1,r&b,hip pop,0.543,0.563,0,-7.333,1,0.0457,0.5,0.0,0.0616,0.37,99.562,157300
2tiq10rhGegBQmBa81etVS,The Good Life,Devon Gilfillian,49,0F6GEmGd1mErhB4Ie2d2So,Black Hole Rainbow,2020-01-10,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.59,0.701,11,-5.488,1,0.105,0.33,2.95e-05,0.0888,0.595,86.758,245080
3bPsHHJ6EL2xZSflLsIve3,Tiny Sailboat,Kupla,63,2dPa5nSDfNDStYSYJBc6sU,Coniferous,2019-09-02,Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,rap,hip hop,0.607,0.322,0,-10.949,1,0.134,0.397,0.878,0.643,0.381,174.086,150882
7C5CJmbJiTv8sRV9uY5qpN,San Andreas,Zeamsone,54,1owhNP2Fe287TlpRZmGTSy,777,2018-09-28,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,0.593,0.867,9,-5.761,0,0.21,0.0592,0.0,0.107,0.544,159.966,198000
4kFmRFE9YzjKnUCbXQKnag,Nessaja,Scooter,47,3y02W7Qv7zFB85ApapWbVt,20 Years of Hardcore (Remastered),2013-10-11,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.486,0.904,2,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,208450
1CmGzrH5UKJZROPnaMWTaQ,Shoot Him Down,Alice Francis,40,46wbJKiMEFOoedTQHYHeEy,St. James Ballroom,2014-01-16,Electro Swing Top 100,5M7xLCQTYJL0lbKIrUn3a4,edm,electro house,0.931,0.828,10,-5.223,0,0.172,0.289,2.23e-06,0.086,0.861,112.012,207587
4bQGI1roeSr8Q85on2tQNU,Lean On Me,Club Nouveau,2,5bpExIDtRjmIzOIoGonn4R,Greatest Hits,2003-09-30,80s-90s R&B / New Jack Swing / Funk / Dance / Soul,3X4HmijjKdwwLonCrOOEAZ,r&b,new jack swing,0.748,0.629,0,-8.42,1,0.066,0.0168,0.0,0.0991,0.919,182.448,294947
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Flo Rida,76,7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,2012-06-22,2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,2DjIfVDXGYDgRxw7IJTKVb,edm,pop edm,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947
1Hfjy5mfIUsBLBBf4eqBnO,Riverside Hotel,オメガトライブ,32,24sd1ZTrjjabj0A54XK0RP,NEVER ENDING SUMMER,1984-12-21,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.612,0.77,9,-5.49,0,0.0319,0.234,0.0,0.0563,0.627,126.656,277360
03cHvWSHWQ6zRNFMes0OdZ,Always On My Mind - Nihil Young Remix,Mike Mago,40,1EWp70JCSAs31BoUY4qVsg,Always On My Mind (The Remixes),2019-02-08,Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house,0.722,0.829,7,-5.335,0,0.11,0.0451,0.073,0.179,0.614,122.954,215250
0qAMjeQFyd1qD0LDiV8gWp,Black Horse And The Cherry Tree,KT Tunstall,59,3j70PDKieTWQAwas3bPHRZ,Eye To The Telescope,2005-01-01,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.748,0.786,4,-7.788,0,0.0641,0.328,0.0,0.34,0.917,104.833,172373
600oiqLkQIJ85HvQGIQWvO,The Last Time,The Script,75,4BSDAmxxjYJnePMfh8kSJM,Sunsets & Full Moons,2019-11-08,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,0.521,0.746,5,-3.421,1,0.0349,0.0486,0.0,0.236,0.15,132.014,196107
7elVjOsjavNKmAMZOT89Od,Sweet Sweet,Taliwhoah,49,3n2sakpYZBVvBektiaLrNc,Another Dimension,2019-11-22,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.706,0.579,5,-9.573,0,0.311,0.0768,0.21,0.0419,0.465,200.095,235905
